,name,alias_1,alias_2,muscle_group,secondary_muscle_group,tertiary_muscle_group,equipment,description,instructions
854,Dumbbell Goblet Bulgarian Split Squat,DB Goblet Bulgarian Split Squat,Goblet Bulgarian Split Squat,Legs,Glute,Hamstring,Dumbbell,Unilateral lower-body exercise that targets the quads and glutes using a goblet-hold dumbbell and elevated rear foot for balance and strength.,"1. Hold a dumbbell vertically at chest level and stand 2-3 feet in front of a bench with your back foot elevated on the bench, 2. Keep most of your weight on your front leg and maintain an upright torso, 3. Lower into a lunge position until your front thigh is parallel to the ground, 4. Push through your front heel to return to the starting position, then repeat all reps before switching legs."
855,Kettlebell Goblet Bulgarian Split Squat,KB Goblet Bulgarian Split Squat,Goblet Bulgarian Split Squat Kettlebell,Legs,Glute,Hamstring,Kettlebell,Unilateral leg exercise that targets the quads and glutes using a kettlebell in goblet position for lower-body strength and core engagement.,"1. Hold a kettlebell by the horns at chest level and stand 2-3 feet in front of a bench with your back foot elevated, 2. Keep most of your weight on your front leg and maintain proper posture, 3. Lower into a split squat position until your front thigh is parallel to the ground, 4. Drive through your front heel to return to the starting position, then repeat all reps before switching legs."
856,Bodyweight Shrimp Squat,bw Shrimp Squat,Shrimp Squat,Legs,Quadriceps,,Bodyweight,"Single-leg strength exercise that targets the quads, glutes, and hip flexors using bodyweight and knee-controlled movement for balance and mobility.","1. Stand on your right leg and grab your left ankle behind you with your left hand, 2. Extend your right arm forward for balance and begin lowering into a single-leg squat, 3. Descend as low as possible while keeping your left leg pulled up behind you, 4. Push through your right heel to return to standing, then repeat all reps before switching to your left leg."
857,Dumbbell Pistol Squat,Assisted DB Pistol Squat,Dumbbell Assisted Pistol Squat,Legs,Quadriceps,,Dumbbell,"Unilateral balance exercise that targets the quads, glutes, and core using dumbbells and assisted support for stability and mobility.","1. Hold a light dumbbell at chest level and stand near a sturdy object for balance support, 2. Lift your left leg straight out in front of you and extend your arms forward, 3. Lower into a single-leg squat on your right leg while using your free hand for light assistance, 4. Descend as low as possible then push through your right heel to return to standing, then repeat all reps before switching legs."
858,Dumbbell Pistol Squat (Assisted),Assisted Goblet Pistol Squat,DB Goblet Assisted Pistol Squat,Legs,Quadriceps,,Dumbbell,"Unilateral squat variation that targets the quads, glutes, and core using a goblet-hold dumbbell with assistance for control and depth.","1.  Hold a dumbbell vertically at chest level and stand near a sturdy object for balance support, 2. Lift your left leg straight out in front of you while keeping the dumbbell close to your chest, 3. Lower into a single-leg squat on your right leg while using light assistance for balance, 4. Descend as low as possible then drive through your right heel to stand up, then repeat all reps before switching legs."
859,Dumbbell Glute Bridge (Single Leg),Single Leg DB Glute Bridge,Dumbbell Single Leg Hip Bridge,Glutes,Hamstring,Lower Back,Dumbbell,Unilateral posterior chain exercise that targets the glutes and hamstrings using a dumbbell and single-leg bridge position for strength and hip stability.,"1. Lie on your back with knees bent and hold a dumbbell on your lower abdomen, 2. Lift your left leg straight up or bend it toward your chest, 3. Drive through your right heel to lift your hips up into a bridge position while squeezing your glutes, 4. Lower your hips back down with control, then repeat all reps before switching to your left leg."
860,Dumbbell Wood Chop ,DB Wood Chop,Dumbbell Woodchopper,Obliques,Abs,Shoulders,Dumbbell,Rotational core exercise that targets the obliques and shoulders using a dumbbell for diagonal movement and power generation.,"1. Hold a dumbbell with both hands and stand with feet shoulder-width apart, 2. Start with the dumbbell above your right shoulder with arms extended, 3. Rotate your torso and bring the dumbbell down across your body toward your left hip in a chopping motion, 4. Reverse the movement to return to the starting position, then repeat all reps before switching directions."
861,Dumbbell Windmill,DB Windmill,Dumbbell Turkish Get-Up Windmill,Obliques,Shoulders,,Dumbbell,"Rotational mobility and strength exercise that targets the obliques, glutes, and shoulders using a dumbbell for stability and control.","1. Hold a dumbbell overhead in your right hand with your arm fully extended and feet wider than shoulder-width, 2. Turn your left foot out 45 degrees and keep your eyes on the dumbbell overhead, 3. Hinge at your hip and reach down toward your left foot with your left hand while keeping the dumbbell stable overhead, 4. Return to the starting position by driving through your right hip, then repeat all reps before switching sides."
862,Dumbbell Suitcase Carry (Single Arm),Single Arm DB Suitcase Carry,DB Suitcase Walk,Obliques,Forearms,Lower Back,Dumbbell,"Loaded carry that targets the core, forearms, and obliques using a single dumbbell for grip strength and anti-lateral flexion.","1. Hold a heavy dumbbell in your right hand at your side like carrying a suitcase, 2. Stand tall with your shoulders level and core braced to prevent leaning, 3. Walk forward with controlled steps while resisting the urge to lean away from the weight, 4. Maintain perfect posture throughout the carry, then repeat with the dumbbell in your left hand."
863,Kettlebell Suitcase Carry (Single Arm),Single Arm KB Suitcase Carry,KB Suitcase Walk,Obliques,Forearms,Lower Back,Kettlebell,Unilateral carry exercise that targets the core and grip using a single kettlebell for anti-lateral flexion and trunk stability.,"1. Hold a heavy kettlebell in your right hand at your side in a suitcase grip, 2. Stand tall with your shoulders square and core engaged to counteract the uneven load, 3. Walk forward with controlled steps while maintaining perfect posture and preventing lateral lean, 4. Keep your shoulder blades pulled back throughout the carry, then repeat with the kettlebell in your left hand."
864,Barbell Suitcase Carry (Single Arm),Single Arm Barbell Suitcase Carry,BB Suitcase Walk,Obliques,Forearms,Lower Back,Barbell,"Loaded carry movement that targets the obliques, core, and grip using a single barbell for advanced strength and control.","1. Hold one end of a barbell in your right hand at your side with a firm grip, 2. Stand tall with your shoulders level and core braced to resist the uneven weight distribution, 3. Walk forward with controlled steps while maintaining perfect posture and preventing any lean, 4. Keep your free arm relaxed at your side for balance, then repeat holding the barbell in your left hand."
865,Dumbbell Bear Craw Row (Alternating),Alternating DB Bear Crawl Row,Bear Crawl DB Row,Lats,Abs,Shoulders,Dumbbell,"Crawling core and upper-body exercise that targets the lats, shoulders, and abs using dumbbells for strength and coordination.","1. Start in a bear crawl position with dumbbells under your hands and knees hovering just off the ground, 2. Keep your core tight and hips level as you row the right dumbbell up to your ribcage, 3. Lower the dumbbell back to the ground with control while maintaining the bear crawl position, 4. Immediately repeat the rowing movement with your left arm, alternating sides for each rep."
866,Dumbbell Bird Dog (Alternating),Alternating DB Bird Dog,DB Bird Dog,Lower Back,Glute,Abs,Dumbbell,Core stability exercise that targets the glutes and spinal erectors using dumbbells and alternating limb movement for balance and control.,"1. Start on hands and knees with a light dumbbell in your right hand, 2. Simultaneously extend your right arm forward and your left leg back while holding the dumbbell, 3. Hold this position briefly while keeping your hips level and core engaged, 4. Return to starting position and repeat with your left arm and right leg, alternating sides for each rep."
867,Dumbbell V-Up,DB V-Up,Dumbbell Sit-Up V,Abs,Quadriceps,,Dumbbell,Core-focused abdominal exercise that targets the rectus abdominis using a dumbbell for added resistance and control.,"1. Lie on your back holding a dumbbell with both hands above your chest and legs extended, 2. Simultaneously lift your legs and upper body to form a V-shape while bringing the dumbbell toward your feet, 3. Keep your legs straight and core engaged throughout the movement, 4. Lower back to the starting position with control while keeping tension in your abs."
868,Dumbbell Hollow Body Hold,DB Hollow Body Hold,Hollow Body DB Hold,Abs,,,Dumbbell,Isometric core exercise that targets the abdominals and hip flexors using a dumbbell for tension and endurance.,"1. Lie on your back holding a dumbbell with both hands above your chest, 2. Press your lower back into the ground and lift your shoulders and legs off the floor, 3. Hold this hollow body position while keeping the dumbbell stable above your chest, 4. Maintain the position for the prescribed time while breathing steadily and keeping your core engaged."
869,Cable Anti-Rotation Hold (Split-Squat),Split Squat Cable Anti-Rotation,Cable Anti-Rotation Split Squat,Obliques,Glute,,Cable,Isometric core stability exercise that targets the obliques and glutes using a cable and split-squat stance for anti-rotation training.,"1. Set up in a split-squat position perpendicular to a cable machine with the handle at chest level, 2. Hold the cable handle with both hands at your chest and step away to create tension, 3. Maintain the split-squat position while resisting the cable's pull trying to rotate your torso, 4. Hold for the prescribed time while keeping your core braced, then repeat facing the opposite direction."
870,Dumbbell Halo,DB Halo,Dumbbell Shoulder Halo,Shoulders,Obliques,,Dumbbell,Shoulder mobility and core control exercise that targets the deltoids and upper back using a dumbbell for circular motion around the head.,"1. Hold a dumbbell by one end with both hands and stand with feet shoulder-width apart, 2. Start with the dumbbell at chest level and slowly circle it around your head clockwise, 3. Keep your core engaged and avoid arching your back as you move the weight overhead, 4. Complete the full circle and repeat in the same direction, then switch to counterclockwise."
871,Kettlebell Halo,KB Halo,Kettlebell Shoulder Halo,Shoulders,Obliques,,Kettlebell,Upper-body mobility and stability exercise that targets the shoulders and core using a kettlebell for rotational movement.,"1. Hold a kettlebell by the horns with both hands and stand with feet shoulder-width apart, 2. Start with the kettlebell at chest level and slowly circle it around your head clockwise, 3. Keep your core tight and maintain good posture as you move the kettlebell overhead, 4. Complete the full circle and repeat in the same direction, then switch to counterclockwise."
872,Plate Halo,Weight Plate Halo,Plate Shoulder Halo,Shoulders,Obliques,,Plate,Mobility and coordination exercise that targets the shoulders and upper back using a weight plate for circular motion and control.,"1. Hold a weight plate with both hands at chest level and stand with feet shoulder-width apart, 2. Slowly circle the plate around your head clockwise while keeping your arms close to your body, 3. Maintain good posture and keep your core engaged throughout the circular movement, 4. Complete the full circle and repeat in the same direction, then switch to counterclockwise."
873,Dumbbell Around the World,DB Around the World,Dumbbell Arm Circles,Shoulders,,,Dumbbell,Core stability and shoulder control exercise that targets the deltoids and abdominals using dumbbells for continuous rotation.,"1. Lie on your back on a bench holding a dumbbell with both hands above your chest, 2. Keep a slight bend in your elbows and slowly lower the dumbbell in a wide arc over your head, 3. Continue the arc motion bringing the dumbbell down to hip level while keeping your core engaged, 4. Reverse the movement to return the dumbbell to the starting position above your chest."
874,Medicine Ball Rotational Slam,Med Ball Rotational Slam,MB Rotational Slam,Obliques,Lat,Shoulders,Medicine,"Explosive core and upper-body exercise that targets the obliques, shoulders, and lats using a medicine ball for rotational power.","1. Hold a medicine ball with both hands and stand with feet shoulder-width apart, 2. Lift the ball above your right shoulder while rotating your torso, 3. Explosively slam the ball down toward your left foot while rotating your entire body, 4. Catch or retrieve the ball and return to the starting position, then repeat all reps in the same direction before switching sides."
875,Medicine Ball Rotational Slam (Alternating),Alternating Med Ball Rotational Slam,MB Rotational Slam Alternating,Obliques,Lat,Shoulders,Medicine,Dynamic rotational power exercise that targets the obliques and shoulders using alternating slams with a medicine ball for explosive strength.,"1. Hold a medicine ball with both hands and stand with feet shoulder-width apart, 2. Lift the ball above your right shoulder while rotating your torso to the right, 3. Explosively slam the ball down toward your left foot with a full body rotation, 4. Catch or retrieve the ball and immediately repeat the movement to the opposite side, alternating directions each rep."
876,Dumbbell Squat Jump,DB Squat Jump,Jump Squat with Dumbbell,Legs,Quadriceps,,Dumbbell,Explosive plyometric exercise that targets the quads and glutes using dumbbells for power development and vertical force.,"1. Hold dumbbells at your sides and stand with feet shoulder-width apart, 2. Lower into a squat position while keeping the dumbbells close to your body, 3. Explosively jump up as high as possible while maintaining control of the weights, 4. Land softly with bent knees and immediately lower into the next squat repetition."
877,Bodyweigth Broad Jump,BW Broad Jump,Standing Broad Jump,Legs,Quadriceps,,Bodyweigth,Plyometric movement that targets the glutes and hamstrings using bodyweight for horizontal power and athletic explosiveness.,"1. Stand with feet shoulder-width apart and arms at your sides, 2. Bend your knees and swing your arms back to load for the jump, 3. Explosively jump forward as far as possible while swinging your arms forward for momentum, 4. Land softly with bent knees and step back to the starting position for the next repetition."
878,Dumbbell Broad Jump,DB Broad Jump,,Legs,Quadriceps,,Dumbbell,Plyometric strength exercise that targets the glutes and hamstrings using dumbbells for added resistance and horizontal jump power.,"1. Hold dumbbells at your sides and stand with feet shoulder-width apart, 2. Bend your knees and hinge at your hips while keeping the dumbbells close to your body, 3. Explosively jump forward as far as possible while maintaining control of the weights, 4. Land softly with bent knees and walk back to the starting position for the next repetition."
879,Dumbbell Split Squat Jump,DB Split Squat Jump,Jump Split Squat with Dumbbell,Legs,,,Dumbbell,Explosive unilateral exercise that targets the quads and glutes using dumbbells for power and stability.,"1. Hold dumbbells at your sides and start in a lunge position with your right foot forward, 2. Lower into a deep lunge while keeping the dumbbells close to your body, 3. Explosively jump up and switch leg positions in mid-air, 4. Land softly in a lunge with your left foot forward and immediately lower into the next repetition, then repeat all reps before switching starting leg."
880,Bodyweight Split Squat Jump,BW Split Squat Jump,Jump Split Squat,Legs,,,Bodyweight,Plyometric single-leg exercise that targets the quads and glutes using bodyweight for power and balance.,"1. Start in a lunge position with your right foot forward and hands on your hips, 2. Lower into a deep lunge position with your back knee nearly touching the ground, 3. Explosively jump up and switch leg positions in mid-air, 4. Land softly in a lunge with your left foot forward and immediately continue the jumping pattern, then repeat all reps before switching starting leg."
881,Bodyweight Split Squat Jump (Alternating),Alternating BW Split Squat Jump,Jump Lunge Alternating,Legs,,,Bodyweight,Dynamic explosive exercise that targets the quads and glutes using bodyweight with alternating legs for power and coordination.,"1. Start in a lunge position with your right foot forward and hands on your hips, 2. Lower into a deep lunge position with proper form, 3. Explosively jump up and switch leg positions in mid-air, 4. Land softly in a lunge with your left foot forward and immediately jump again, alternating leg positions with each jump."
882,Dumbbell Split Squat Jump (Alternating),Alternating DB Split Squat Jump,DB Jump Lunge Alternating,Legs,,,Dumbbell,Plyometric strength movement that targets the quads and glutes using dumbbells with alternating legs for explosiveness and balance.,"1. Hold dumbbells at your sides and start in a lunge position with your right foot forward, 2. Lower into a deep lunge while maintaining control of the weights, 3. Explosively jump up and switch leg positions in mid-air, 4. Land softly in a lunge with your left foot forward and immediately jump again, alternating leg positions with each repetition."
883,Dumbbell Mountain Climber,DB Mountain Climber,Weighted Mountain Climber,Abs,Shoulders,,Dumbbell,"Dynamic core and conditioning exercise that targets the abs, shoulders, and hip flexors using dumbbells for added stability and resistance.","1. Start in a plank position with your hands on dumbbells and core engaged, 2. Drive your right knee toward your chest while keeping your left leg extended, 3. Quickly switch leg positions by extending your right leg back and driving your left knee forward, 4. Continue alternating legs in a running motion while maintaining the plank position on the dumbbells."
884,Bodyweight Plyometric Lunges (Alternating),Alternating Plyo Lunges,Jump Lunges Alternating,Legs,Quadriceps,,Bodyweight,Explosive alternating lower-body exercise that targets the quads and glutes using bodyweight for power and coordination.,"1. Start in a lunge position with your right foot forward and hands on your hips, 2. Lower into a deep lunge position with your back knee nearly touching the ground, 3. Explosively jump up and switch leg positions in mid-air, 4. Land softly in a lunge with your left foot forward and immediately jump again, continuously alternating legs."
885,Dumbbell Swing (Alternating),Alternating DB Swing,DB Kettlebell Style Swing,Glutes,Hamstring,,Dumbbell,Explosive hip-dominant movement that targets the glutes and hamstrings using a dumbbell for alternating power and core control.,"1. Hold a dumbbell in your right hand and stand with feet shoulder-width apart, 2. Hinge at your hips and swing the dumbbell back between your legs, 3. Explosively drive your hips forward to swing the dumbbell up to chest level, 4. As the dumbbell reaches the top, quickly switch it to your left hand and repeat the swinging motion, alternating hands each rep."
886,Kettlebell Swing (Alternating),Alternating KB Swing,Russian Swing Alternating,Glutes,Hamstring,,Kettlebell,"Explosive full-body exercise that targets the glutes, hamstrings, and core using a kettlebell for alternating power and conditioning.","1. Hold a kettlebell in your right hand and stand with feet shoulder-width apart, 2. Hinge at your hips and swing the kettlebell back between your legs, 3. Explosively drive your hips forward to swing the kettlebell up to chest level, 4. At the top of the swing, quickly switch the kettlebell to your left hand and continue the swinging motion, alternating hands each rep."
887,Barbell Offset Carry (Single Arm),Single Arm BB Offset Carry,Barbell Unilateral Carry,Obliques,Forearms,,Barbell,"Unilateral loaded carry that targets the core, shoulders, and grip using a barbell for anti-rotation and posture control.","1. Load one end of a barbell and hold the unloaded end in your right hand at your side, 2. Stand tall with your shoulders level and core braced to resist the uneven weight distribution, 3. Walk forward with controlled steps while maintaining perfect posture and preventing any lean, 4. Keep your free arm relaxed for balance throughout the carry, then repeat holding the barbell in your left hand."
888,Landmine Rotation,Landmine Twist,Russian Landmine Twist,Obliques,Shoulders,,Landmine,Rotational core and hip exercise that targets the obliques and shoulders using a landmine barbell for explosive torso movement.,"1. Hold the end of a landmine barbell with both hands at chest level and stand with feet shoulder-width apart, 2. Keep your arms relatively straight and rotate the barbell from side to side across your body, 3. Engage your core and let the rotation come from your torso rather than just your arms, 4. Control the movement in both directions while maintaining good posture throughout."
889,Landmine Rotational Press (Single Arm),Single Arm Landmine Rotational Press,Landmine Rotation Press (SA),Shoulders,Triceps,Obliques,Landmine,Unilateral pressing and rotation exercise that targets the shoulders and core using a landmine barbell for dynamic strength.,"1. Hold the end of a landmine barbell in your right hand at shoulder level and stand with feet shoulder-width apart, 2. Press the barbell up and across your body toward your left side while rotating your torso, 3. Control the weight as you bring it back to the starting position at your right shoulder, 4. Complete all reps on one side before switching to press with your left hand toward your right side."
890,Landmine Rotational Press (Alternating),Alternating Landmine Rotational Press,Landmine Rotation Press Alternating,Shoulders,Triceps,Obliques,Landmine,"Dynamic rotational pressing exercise that targets the shoulders, core, and obliques using a landmine barbell for alternating strength.","1. Hold the end of a landmine barbell with both hands at chest level and stand with feet shoulder-width apart, 2. Press the barbell up and to your right while rotating your torso in that direction, 3. Bring the barbell back to center and immediately press it up and to your left while rotating your torso, 4. Continue alternating the rotational press from side to side with each repetition."
891,Landmine Wood Chop (Single Side),Single Side Landmine Wood Chop,Landmine Woodchopper,Obliques,Shoulders,,Landmine,Rotational core exercise that targets the obliques and lats using a landmine barbell for unilateral power and control.,"1. Hold the end of a landmine barbell with both hands and stand perpendicular to the barbell, 2. Start with the barbell at your right shoulder and your torso rotated toward the landmine, 3. Rotate your torso and bring the barbell down across your body toward your left hip in a chopping motion, 4. Control the movement back to the starting position, then complete all reps before switching to the opposite side."
892,Landmine Wood Chop (Alternating),Alternating Landmine Wood Chop,Landmine Woodchopper Alternating,Obliques,Shoulders,,Landmine,Alternating rotational movement that targets the obliques and shoulders using a landmine barbell for core strength and power.,"1. Hold the end of a landmine barbell with both hands and stand facing the landmine, 2. Start with the barbell at your right shoulder with your torso rotated to that side, 3. Rotate across your body and bring the barbell down toward your left hip in a chopping motion, 4. Immediately rotate to the opposite side and repeat the chopping motion, alternating directions with each rep."
893,Trap Bar Jump Squat,Jump Squat with Trap Bar,Trap Bar Jump,Legs,Quadriceps,,Trap Bar,"Explosive lower-body exercise that targets the glutes, quads, and calves using a trap bar for loaded vertical power.","1. Stand inside a trap bar with feet shoulder-width apart and grip the handles, 2. Lower into a squat position while keeping your chest up and core engaged, 3. Explosively jump up as high as possible while maintaining your grip on the handles, 4. Land softly with bent knees and immediately lower into the next squat repetition."
894,Trap Bar RDL,RDL with Trap Bar,Trap Bar Romanian Deadlift,Hamstrings,Glute,Lower Back,Trap Bar,Posterior chain strength exercise that targets the hamstrings and glutes using a trap bar for hip hinge control and balance.,"1. Stand inside a trap bar with feet hip-width apart and grip the handles with arms straight, 2. Hinge at your hips and push your hips back while keeping your chest up and back straight, 3. Lower the weight until you feel a stretch in your hamstrings while keeping the bar close to your legs, 4. Drive through your heels and push your hips forward to return to the starting position."
895,Trap Bar Deadlift (Stiff-Leg),Stiff Leg Trap Bar Deadlift,Trap Bar Stiff-Leg DL,Legs,Lower Back,,Trap Bar,Hip hinge exercise that targets the hamstrings and glutes using a trap bar for posterior chain development.,"1. Position yourself inside the trap bar with feet hip-width apart and grip the handles with arms straight, 2. Hinge at the hips by pushing your glutes back while keeping your legs relatively straight with a slight knee bend, 3. Lower the bar by continuing the hip hinge movement until you feel a stretch in your hamstrings, 4. Drive your hips forward and squeeze your glutes to return to the starting position while maintaining a neutral spine."
896,Landmine Press (Half-Kneeling),Half Kneeling Landmine Press,Landmine Kneeling Press,Shoulders,Triceps,,Landmine,Upper-body pressing exercise that targets the shoulders and core using a landmine setup in a half-kneeling position for stability and control.,"1. Set up in a half-kneeling position with your back leg down and front leg at 90 degrees while holding the landmine bar at shoulder height, 2. Engage your core and maintain an upright torso while gripping the bar with both hands, 3. Press the bar up and slightly forward in an arc motion while keeping your hips square, 4. Lower the bar back to shoulder height with control while maintaining your stable half-kneeling position."
897,Landmine Press ( Half-Kneeling & Single Arm),Single Arm Half Kneeling Landmine Press,Landmine Press Kneeling One Arm,Shoulders,Triceps,,Landmine,Unilateral pressing exercise that targets the shoulders and obliques using a landmine in a half-kneeling position for core engagement and balance.,"1. Position yourself in a half-kneeling stance with the working arm's opposite leg forward while holding the landmine bar in one hand at shoulder height, 2. Brace your core and maintain an upright posture while gripping the bar with your working arm, 3. Press the bar up and forward in an arc while resisting rotation through your torso, 4. Control the descent back to shoulder height while keeping your hips and shoulders square."
898,Landmine Press (Staggered Stance),Staggered Landmine Press,Landmine Press in Split Stance,Shoulders,Triceps,,Landmine,Pressing exercise that targets the shoulders and core using a staggered stance and landmine bar for improved rotational stability.,"1. Stand with feet in a staggered position with your front foot slightly ahead while holding the landmine bar with both hands at chest level, 2. Maintain a slight forward lean and engage your core while gripping the bar firmly, 3. Press the bar up and forward in an arc motion while keeping your torso stable, 4. Lower the bar with control back to chest level while maintaining your staggered stance."
899,Landmine Row (Single Arm),One Arm Landmine Row,Landmine Single Arm Row,Upper Back,Lat,,Landmine,Pulling exercise that targets the lats and rhomboids using a single-arm landmine setup for unilateral back strength.,"1. Position yourself perpendicular to the landmine with feet shoulder-width apart while hinging at the hips and holding the bar with one hand, 2. Hinge forward at the hips with a neutral spine and let your working arm hang straight down, 3. Pull the bar up toward your ribcage by driving your elbow back and squeezing your shoulder blade, 4. Lower the bar with control while maintaining the hinged position and resisting rotation."
900,Landmine Row (Staggered Stance & Single Arm),Staggered Stance One Arm Landmine Row,Landmine Row Single Arm Staggered,Upper Back,Lat,,Landmine,Unilateral rowing exercise that targets the lats and core using a landmine in a staggered stance for rotational and postural control.,"1. Set up in a staggered stance perpendicular to the landmine while holding the bar with the arm opposite to your forward leg, 2. Hinge at the hips with your forward leg slightly bent and maintain a neutral spine, 3. Pull the bar toward your lower ribcage by driving your elbow back and retracting your shoulder blade, 4. Control the lowering phase while maintaining your stable staggered position and keeping hips square."
901,Bodyweight Jefferson Curl,Jefferson Curl Bodyweight,No Weight Jefferson Curl,Hamstrings,Lower Back,,Bodyweight,Flexion-based mobility exercise that targets the hamstrings and spinal extensors using bodyweight for flexibility and control.,"1. Stand tall with feet hip-width apart and arms hanging at your sides, 2. Begin by slowly tucking your chin to your chest and continue rolling down vertebra by vertebra, 3. Continue the spinal flexion movement by rounding through your upper back, then mid-back, then lower back, 4. Reverse the movement by slowly uncurling from the bottom up while stacking each vertebra until you return to standing."
902,Dumbbell Jefferson Curl,DB Jefferson Curl,Jefferson Curl with Dumbbells,Hamstrings,Lower Back,,Dumbbell,Loaded mobility exercise that targets the hamstrings and spinal erectors using a dumbbell for enhanced range of motion and strength.,"1. Stand holding a light dumbbell with both hands and feet hip-width apart, 2. Begin by tucking your chin and slowly rolling down vertebra by vertebra while letting the weight pull you deeper, 3. Continue the controlled spinal flexion until you reach your end range while keeping the dumbbell close to your body, 4. Reverse the movement by slowly uncurling from the bottom up while controlling the weight throughout the ascent."
903,Kettlebell Jefferson Curl,KB Jefferson Curl,Jefferson Curl with Kettlebell,Hamstrings,Lower Back,,Kettlebell,Flexibility exercise that targets the posterior chain using a kettlebell for spinal decompression and hamstring stretch.,"1. Stand holding a light kettlebell with both hands and feet hip-width apart, 2. Tuck your chin and begin rolling down vertebra by vertebra while allowing the kettlebell to create gentle traction, 3. Continue the controlled spinal flexion movement until you reach your comfortable end range, 4. Slowly reverse the movement by uncurling from the bottom up while maintaining control of the kettlebell."
904,Landmine Reverse Lunge ,Reverse Lunge Landmine,Landmine Backward Lunge,Legs,,,Landmine,Lower-body unilateral exercise that targets the quads and glutes using a landmine bar for controlled lunging movement.,"1. Stand holding the landmine bar at chest level with both hands and feet hip-width apart, 2. Step one foot backward into a lunge position while keeping your torso upright, 3. Lower your back knee toward the ground while keeping most of your weight on your front leg, 4. Push through your front heel to return to the starting position while maintaining control of the bar."
905,Landmine Reverse Lunge (Alternating),Alternating Landmine Reverse Lunge,Landmine Alternating Back Lunge,Legs,,,Landmine,Alternating lunge exercise that targets the quads and glutes using a landmine for dynamic leg strength and balance.,"1. Stand holding the landmine bar at chest level with both hands and feet hip-width apart, 2. Step your right foot backward into a lunge position while keeping your torso upright, 3. Lower your back knee toward the ground then push through your front heel to return to center, 4. Alternate by stepping your left foot backward and repeat the same lunge pattern."
906,Landmine Reverse Lung to Press,Lunge to Press Landmine,Landmine Reverse Lunge and Press,Legs,Shoulders,Triceps,Landmine,Compound movement that targets the legs and shoulders using a landmine bar for total-body coordination and power.,"1. Stand holding the landmine bar at chest level with both hands and feet hip-width apart, 2. Step one foot backward into a lunge position while keeping the bar at chest level, 3. Lower into the lunge then drive through your front heel while simultaneously pressing the bar overhead, 4. Return the bar to chest level as you step back to the starting position."
907,Landmine Lateral Lunge,Side Lunge Landmine,Landmine Side Lunges,Legs,Adductors,,Landmine,Lateral movement exercise that targets the glutes and inner thighs using a landmine bar for frontal plane strength.,"1. Stand holding the landmine bar at chest level with both hands and feet hip-width apart, 2. Step out to one side into a wide stance while pushing your hips back and bending the stepping leg, 3. Lower into the lateral lunge while keeping your opposite leg straight and torso upright, 4. Push through the bent leg to return to the starting position while maintaining control of the bar."
908,Landmine Lateral Lunge (Alternating),Alternating Side Lunge Landmine,Landmine Alternating Lateral Lunge,Legs,Adductors,,Landmine,Alternating side lunge exercise that targets the glutes and adductors using a landmine for multi-directional strength.,"1. Stand holding the landmine bar at chest level with both hands and feet hip-width apart, 2. Step out to your right side into a wide stance while pushing your hips back and bending your right leg, 3. Lower into the lateral lunge while keeping your left leg straight then push back to center, 4. Alternate by stepping out to your left side and repeat the same lateral lunge pattern."
909,Landmine Hack Squat,Hack Squat with Landmine,Landmine Back Squat Variant,Legs,Quadriceps,,Landmine,Lower-body squat variation that targets the quads and glutes using a landmine bar in a rear-loaded position for knee-dominant strength.,"1. Stand with your back to the landmine while holding the bar behind you at hip level with both hands, 2. Position your feet shoulder-width apart with toes slightly turned out, 3. Lower into a squat by pushing your hips back and bending your knees while keeping your chest up, 4. Drive through your heels to return to standing while maintaining an upright torso throughout the movement."
910,Landmine Overhead Squat,Overhead Squat Landmine,Landmine OHS,Legs,Shoulders,Lower Back,Landmine,"Total-body squat exercise that targets the quads, shoulders, and core using a landmine bar held overhead for mobility and balance.","1. Stand holding the landmine bar overhead with both hands and feet shoulder-width apart, 2. Engage your core and maintain the bar directly overhead while keeping your arms extended, 3. Lower into a squat by pushing your hips back and bending your knees while keeping the bar stable overhead, 4. Drive through your heels to return to standing while maintaining the overhead position throughout."
911,Landmine Squat ,Front Squat Landmine,Landmine Goblet Squat,Legs,,,Landmine,Lower-body squat exercise that targets the quads and glutes using a landmine setup for a guided and upright torso position.,"1. Stand holding the landmine bar at chest level with both hands and feet shoulder-width apart, 2. Engage your core and maintain an upright torso while gripping the bar firmly, 3. Lower into a squat by pushing your hips back and bending your knees while keeping your chest up, 4. Drive through your heels to return to standing while maintaining control of the bar at chest level."
912,Landmine Squat to Press,Squat Press Landmine,Landmine Thruster,Legs,Shoulders,Lower Back,Landmine,"Compound lift that targets the legs, shoulders, and core using a landmine bar for strength and power development.","1. Stand holding the landmine bar at chest level with both hands and feet shoulder-width apart, 2. Lower into a squat by pushing your hips back and bending your knees while keeping the bar at chest level, 3. Drive through your heels to stand up while simultaneously pressing the bar overhead in one fluid motion, 4. Lower the bar back to chest level as you prepare for the next repetition."
913,Landmine RDL (Single Leg),Landmine Single Leg RDL,One Leg Landmine Deadlift,Hamstrings,Glute,Lower Back,Landmine,Unilateral hinge exercise that targets the hamstrings and glutes using a landmine bar for balance and posterior chain strength.,"1. Stand on one leg while holding the landmine bar with both hands and lift your opposite leg slightly off the ground, 2. Hinge at the hip by pushing your glutes back while extending your free leg behind you for balance, 3. Lower the bar while maintaining a neutral spine and feeling a stretch in your standing leg's hamstring, 4. Drive your hips forward to return to the starting position while keeping your core engaged for stability."
